#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
13.1734;1480;394;-142.0;-119.0
13.2865;-366;-1184;-170.0;-80.0
13.3730;-2587;-2282;-167.0;-62.0
13.4844;-4751;-3064;-131.0;-66.0
13.5730;-6414;-3877;-115.0;-94.0
13.6861;-7854;-5058;-111.0;-115.0
13.7741;-9277;-6526;-105.0;-118.0
13.8823;-10603;-8021;-91.0;-130.0
13.9730;-11745;-9701;-111.0;-154.0
14.0812;-13153;-11663;-127.0;-142.0
14.1726;-14761;-13492;-128.0;-137.0
14.2746;-16430;-15231;-132.0;-133.0
14.3820;-18139;-16939;-124.0;-129.0
14.4737;-19732;-18601;-119.0;-135.0
14.5735;-21300;-20342;-109.0;-117.0
14.6755;-22715;-21871;-103.0;-102.0
14.7735;-24076;-23198;-104.0;-104.0
14.8822;-25411;-24541;-106.0;-108.0
14.9738;-26779;-25937;-106.0;-109.0
15.0735;-28144;-27308;-115.0;-121.0
15.1975;-29572;-28843;-114.0;-125.0
15.2865;-31010;-30429;-121.0;-127.0
15.3977;-32556;-32062;-125.0;-131.0
15.4818;31376;31785;-136.0;-140.0
15.5986;29655;29999;-144.0;-155.0
15.6774;27818;27997;-153.0;-159.0
15.7749;25879;25954;-171.0;-164.0
15.8742;23707;23858;-184.0;-179.0
15.9739;21378;21558;-180.0;-185.0
16.0741;19090;19187;-179.0;-181.0
16.1751;16813;16895;-176.0;-173.0
16.2830;14525;14676;-164.0;-154.0
16.4002;12411;12665;-140.0;-141.0
16.4763;10624;10845;-129.0;-147.0
16.6137;8964;8953;-132.0;-156.0
16.6747;7269;6978;-148.0;-159.0
16.7782;5371;4955;-171.0;-171.0
16.8744;3192;2770;-177.0;-178.0
16.9853;934;479;-188.0;-187.0
17.0743;-1481;-1887;-190.0;-189.0
17.1831;-3925;-4321;-188.0;-189.0
17.2760;-6337;-6725;-178.0;-178.0
17.3792;-8569;-9010;-175.0;-178.0
17.5134;-10833;-11300;-180.0;-159.0
17.5767;-13095;-13296;-165.0;-159.0
17.6750;-15219;-15331;-144.0;-160.0
17.7748;-17102;-17413;-148.0;-172.0
17.8787;-18978;-19595;-165.0;-178.0
17.9768;-21043;-21809;-161.0;-171.0
18.0760;-23131;-24028;-175.0;-177.0
18.1780;-25373;-26277;-187.0;-166.0
18.3034;-27754;-28411;-185.0;-167.0
18.3786;-30181;-30563;-186.0;-168.0
18.5009;-32515;-32705;-177.0;-163.0
18.5749;30755;30733;-176.0;-155.0
18.6750;28487;28753;-167.0;-161.0
18.7752;26348;26689;-159.0;-163.0
18.8958;24335;24601;-151.0;-162.0
18.9753;22381;22557;-155.0;-161.0
19.0937;20394;20520;-146.0;-160.0
19.1792;18518;18460;-139.0;-147.0
19.2762;16714;16562;-138.0;-137.0
19.3831;14936;14811;-128.0;-126.0
19.4896;13324;13204;-109.0;-114.0
19.5763;11937;11776;-104.0;-100.0
19.6868;10621;10480;-91.0;-94.0
19.7754;9436;9281;-85.0;-88.0
19.8757;8346;8146;-78.0;-83.0
19.9796;7365;7095;-71.0;-77.0
20.0856;6451;6141;-67.0;-71.0
20.1760;5600;5254;-63.0;-62.0
20.2776;4815;4467;-55.0;-57.0
20.3762;4101;3740;-50.0;-46.0
20.4844;3473;3105;-43.0;-39.0
20.5838;2941;2575;-23.0;-31.0
20.6850;2593;2181;-13.0;-12.0
20.7774;2377;1964;-7.0;-2.0
20.8799;2289;1933;0.0;0.0
20.9778;2294;1934;0.0;0.0
21.0776;2293;1935;0.0;0.0
21.1769;2294;1938;0.0;0.0
21.2852;2294;1938;0.0;0.0
21.3858;2294;1938;0.0;0.0
21.4766;2294;1939;0.0;0.0
21.6025;2294;1942;0.0;0.0
21.6775;2293;1942;0.0;0.0
21.7764;2294;1957;0.0;0.0
21.8852;2294;1957;0.0;0.0
21.9807;2294;1957;0.0;0.0
22.0767;2294;1957;0.0;0.0
22.1767;2294;1957;0.0;0.0
22.2775;2294;1957;0.0;0.0
22.3957;2294;1957;0.0;0.0
22.4779;2294;1957;0.0;0.0
22.5929;2294;1957;0.0;0.0
22.6819;2294;1957;0.0;0.0
22.7963;2294;1957;0.0;0.0
22.8842;2294;1957;0.0;0.0
22.9875;2294;1957;0.0;0.0
23.0788;2294;1957;0.0;0.0
23.1880;2294;1957;0.0;0.0
23.2871;2294;1957;0.0;0.0
23.3777;2294;1957;0.0;0.0
23.4866;2294;1957;0.0;0.0
23.5825;2294;1957;0.0;0.0
23.6774;2294;1957;0.0;0.0
23.7863;2294;1957;0.0;0.0
23.8772;2294;1957;0.0;0.0
23.9771;2294;1957;0.0;0.0
24.0860;2294;1957;0.0;0.0
24.1801;2294;1957;0.0;0.0
