#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
7.0238;590;550;-1.0;0.0
7.1239;588;550;0.0;0.0
7.2150;586;551;0.0;0.0
7.3215;586;553;0.0;0.0
7.4219;586;554;0.0;0.0
7.5147;586;555;0.0;0.0
7.6231;592;555;26.0;19.0
7.7169;947;773;58.0;60.0
7.8237;1717;1513;84.0;103.0
7.9221;2813;2861;99.0;142.0
8.0235;4113;4667;132.0;151.0
8.1154;5835;6644;178.0;152.0
8.2153;8128;8646;203.0;154.0
8.3155;10710;10613;210.0;167.0
8.4220;13374;12701;206.0;175.0
8.5174;15986;14978;205.0;193.0
8.6194;18641;17477;196.0;193.0
8.7151;21145;19961;188.0;198.0
8.8157;23581;22510;184.0;199.0
8.9232;25956;25088;182.0;197.0
9.0147;28327;27638;195.0;201.0
9.1149;30802;30233;193.0;207.0
9.2157;-32291;-32689;206.0;214.0
9.3154;-29653;-29941;195.0;205.0
9.4154;-27033;-27275;189.0;189.0
9.5264;-24612;-24857;185.0;196.0
9.6157;-22224;-22289;192.0;202.0
9.7175;-19777;-19723;201.0;193.0
9.8211;-17155;-17290;196.0;178.0
9.9156;-14659;-14995;199.0;190.0
10.0165;-12150;-12583;180.0;183.0
10.1240;-9815;-10171;181.0;183.0
10.2230;-7462;-7863;184.0;172.0
10.3159;-5081;-5606;191.0;187.0
10.4159;-2699;-3220;192.0;179.0
10.5301;-201;-938;199.0;192.0
10.6228;2312;1511;187.0;193.0
10.7229;4822;4010;193.0;204.0
10.8164;7290;6613;189.0;199.0
10.9179;9699;9224;197.0;210.0
11.0203;12177;11916;178.0;217.0
11.1314;14438;14687;179.0;195.0
11.2157;16721;17188;180.0;190.0
11.3162;19073;19652;197.0;198.0
11.4162;21534;22181;189.0;198.0
11.5250;23947;24698;202.0;197.0
11.6168;26537;27217;203.0;184.0
11.7177;29197;29632;197.0;182.0
11.8163;31677;31988;179.0;187.0
11.9165;-31535;-31174;173.0;175.0
12.0168;-29306;-28890;171.0;169.0
12.1169;-27102;-26718;170.0;166.0
12.2172;-24928;-24604;167.0;171.0
12.3165;-22779;-22396;167.0;168.0
12.4165;-20648;-20200;168.0;164.0
12.5213;-18520;-18113;159.0;151.0
12.6168;-16467;-16183;153.0;146.0
12.7247;-14507;-14314;137.0;144.0
12.8247;-12742;-12436;133.0;142.0
12.9179;-11053;-10598;138.0;143.0
13.0170;-9306;-8761;144.0;146.0
13.1169;-7471;-6870;141.0;145.0
13.2278;-5610;-5018;143.0;140.0
13.3252;-3724;-3223;145.0;142.0
13.4171;-1841;-1398;140.0;140.0
13.5171;-30;377;135.0;125.0
13.6177;1677;2002;123.0;126.0
13.7173;3244;3630;113.0;123.0
13.8518;4660;5238;104.0;117.0
13.9239;6027;6718;103.0;99.0
14.0266;7343;7994;98.0;77.0
14.1182;8586;8966;82.0;59.0
14.2180;9666;9703;64.0;49.0
14.3331;10508;10381;49.0;56.0
14.4195;11143;11098;47.0;52.0
14.5305;11730;11790;40.0;40.0
14.6177;12252;12332;39.0;33.0
14.7233;12762;12766;40.0;30.0
14.8172;13294;13189;31.0;31.0
14.9215;13675;13523;9.0;26.0
15.0178;13797;13788;1.0;8.0
15.1269;13804;13864;0.0;2.0
15.2184;13798;13902;0.0;0.0
15.3184;13813;13901;0.0;0.0
15.4174;13813;13901;-1.0;0.0
15.5174;13787;13901;0.0;0.0
15.6195;13787;13901;2.0;0.0
15.7267;13807;13901;-1.0;0.0
15.8178;13803;13898;0.0;0.0
15.9178;13799;13898;0.0;0.0
16.0279;13800;13898;0.0;0.0
16.1273;13800;13898;0.0;0.0
16.2208;13800;13898;0.0;0.0
16.3265;13800;13898;0.0;0.0
16.4276;13800;13898;0.0;0.0
16.5182;13800;13898;0.0;0.0
16.6182;13800;13898;0.0;0.0
16.7240;13800;13898;0.0;0.0
16.8215;13800;13898;0.0;0.0
16.9200;13800;13898;0.0;0.0
17.0188;13800;13898;0.0;0.0
17.1217;13800;13898;0.0;0.0
17.2253;13800;13898;0.0;0.0
17.3235;13800;13898;0.0;0.0
17.4212;13800;13898;0.0;0.0
17.5188;13800;13898;0.0;0.0
17.6184;13800;13898;0.0;0.0
17.7190;13800;13898;0.0;0.0
17.8189;13800;13898;0.0;0.0
17.9242;13800;13898;0.0;0.0
18.0190;13800;13898;0.0;0.0
18.1191;13800;13898;0.0;0.0
18.2338;13800;13898;0.0;0.0
18.3191;13800;13898;0.0;0.0
