#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
14.3469;-6640;-1966;-111.0;43.0
14.4241;-8083;-1412;-135.0;69.0
14.5430;-9827;-560;-146.0;94.0
14.6226;-11751;613;-145.0;117.0
14.7232;-13617;2096;-136.0;124.0
14.8232;-15349;3738;-138.0;132.0
14.9226;-17078;5494;-147.0;135.0
15.0244;-18919;7292;-161.0;139.0
15.1357;-20953;9109;-167.0;143.0
15.2330;-23133;10912;-174.0;140.0
15.3351;-25394;12612;-172.0;128.0
15.4224;-27610;14256;-171.0;128.0
15.5340;-29829;15882;-171.0;118.0
15.6228;-31995;17389;-161.0;117.0
15.7229;31475;18924;-166.0;128.0
15.8314;29329;20508;-188.0;134.0
15.9322;26929;22232;-211.0;151.0
16.0230;24219;24168;-235.0;154.0
16.1258;21225;26165;-257.0;153.0
16.2244;17970;28167;-267.0;150.0
16.3248;14541;30122;-285.0;159.0
16.4334;10881;32143;-299.0;169.0
16.5250;7065;-31207;-302.0;187.0
16.6266;3213;-28806;-316.0;202.0
16.7230;-812;-26206;-315.0;227.0
16.8235;-4854;-23282;-319.0;251.0
16.9235;-8914;-20057;-324.0;274.0
17.0235;-13066;-16541;-318.0;294.0
17.1299;-17153;-12787;-310.0;276.0
17.2250;-21140;-9251;-305.0;238.0
17.3306;-25041;-6191;-294.0;216.0
17.4495;-28773;-3374;-286.0;183.0
17.5236;-32442;-1049;-278.0;136.0
17.6235;29531;715;-250.0;111.0
17.7238;26295;2161;-216.0;82.0
17.8438;23536;3220;-155.0;57.0
17.9253;21546;3950;-113.0;60.0
18.0371;20082;4745;-58.0;90.0
18.1309;19362;5918;-24.0;140.0
18.2376;19043;7728;-21.0;193.0
18.3247;18842;10178;-72.0;228.0
18.4247;17925;13132;-148.0;208.0
18.5267;16070;15825;-211.0;154.0
18.6355;13376;17805;-255.0;93.0
18.7330;10120;18996;-288.0;60.0
18.8314;6438;19770;-297.0;61.0
18.9345;2609;20546;-298.0;62.0
19.0349;-1204;21360;-291.0;72.0
19.1267;-4902;22286;-274.0;96.0
19.2345;-8390;23510;-243.0;102.0
19.3254;-11529;24829;-223.0;104.0
19.4254;-14401;26189;-193.0;102.0
19.5249;-16871;27497;-169.0;93.0
19.6336;-19044;28696;-141.0;90.0
19.7242;-20830;29860;-114.0;90.0
19.8247;-22311;31023;-82.0;101.0
19.9306;-23360;32316;-23.0;113.0
20.0246;-23668;-31747;-1.0;111.0
20.1492;-23655;-30304;0.0;103.0
20.2243;-23655;-28968;-35.0;80.0
20.3495;-24129;-27904;-49.0;54.0
20.4413;-24808;-27252;-40.0;31.0
20.5249;-25324;-26862;-30.0;11.0
20.6256;-25686;-26709;2.0;1.0
20.7488;-25651;-26696;1.0;0.0
20.8247;-25630;-26692;7.0;30.0
20.9419;-25510;-26225;8.0;5.0
21.0280;-25392;-26153;0.0;0.0
21.1437;-25395;-26179;-13.0;0.0
21.2252;-25544;-26179;0.0;-2.0
21.3410;-25555;-26207;-2.0;5.0
21.4305;-25583;-26143;0.0;2.0
21.5436;-25579;-26073;-1.0;0.0
21.6350;-25585;-26075;0.0;0.0
21.7348;-25580;-26075;0.0;0.0
21.8262;-25578;-26075;0.0;0.0
21.9378;-25579;-26075;0.0;0.0
22.0258;-25578;-26075;0.0;0.0
22.1274;-25579;-26075;0.0;0.0
22.2258;-25579;-26075;0.0;0.0
22.3314;-25579;-26075;0.0;0.0
22.4255;-25579;-26075;0.0;0.0
22.5425;-25579;-26075;0.0;0.0
22.6261;-25579;-26075;0.0;0.0
22.7283;-25579;-26075;0.0;0.0
22.8279;-25579;-26075;0.0;0.0
22.9495;-25579;-26075;0.0;0.0
23.0276;-25579;-26075;0.0;0.0
23.1342;-25579;-26075;0.0;0.0
23.2266;-25579;-26075;0.0;0.0
23.3400;-25579;-26075;0.0;0.0
23.4321;-25579;-26075;0.0;0.0
23.5318;-25579;-26075;0.0;0.0
23.6342;-25579;-26075;0.0;0.0
23.7263;-25579;-26075;0.0;0.0
23.8517;-25579;-26075;0.0;0.0
23.9367;-25579;-26075;0.0;0.0
