#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
10.9456;2294;1957;0.0;0.0
11.0655;2293;1958;0.0;0.0
11.1515;2294;1960;0.0;0.0
11.2692;2291;1968;0.0;-1.0
11.3455;2294;1965;0.0;0.0
11.4543;2294;1966;0.0;0.0
11.5536;2294;1963;0.0;-2.0
11.6647;2294;1943;0.0;-4.0
11.7544;2294;1890;3.0;-11.0
11.8785;2327;1737;16.0;-7.0
11.9488;2562;1642;13.0;-13.0
12.0494;2738;1456;11.0;-7.0
12.1459;2919;1345;17.0;-11.0
12.2457;3137;1241;21.0;-8.0
12.3453;3427;1089;39.0;-25.0
12.4533;3922;805;50.0;-26.0
12.5542;4602;510;57.0;-37.0
12.6557;5358;-39;65.0;-65.0
12.7461;6183;-855;63.0;-102.0
12.8541;7006;-2138;68.0;-134.0
12.9477;7881;-3860;73.0;-153.0
13.0519;8806;-5830;81.0;-166.0
13.1478;9833;-7961;87.0;-172.0
13.2517;11002;-10148;109.0;-164.0
13.3550;12408;-12220;133.0;-158.0
13.4472;14078;-14255;150.0;-155.0
13.5554;16011;-16237;167.0;-164.0
13.6473;18168;-18318;172.0;-176.0
13.7477;20385;-20569;172.0;-187.0
13.8499;22583;-22974;175.0;-192.0
13.9823;24794;-25455;169.0;-204.0
14.0543;26981;-28033;179.0;-205.0
14.1759;29265;-30670;172.0;-210.0
14.2470;31516;32188;167.0;-221.0
14.3475;-31845;29390;167.0;-221.0
14.4461;-29698;26541;161.0;-227.0
14.5632;-27606;23640;156.0;-230.0
14.6493;-25596;20717;138.0;-220.0
14.7477;-23822;17873;128.0;-206.0
14.8469;-22189;15245;140.0;-191.0
14.9494;-20423;12782;141.0;-178.0
15.0470;-18613;10497;155.0;-171.0
15.1530;-16644;8298;171.0;-182.0
15.2497;-14445;5989;192.0;-201.0
15.3465;-11987;3409;210.0;-228.0
15.4471;-9244;513;235.0;-250.0
15.5528;-6245;-2663;246.0;-255.0
15.6475;-3051;-5924;257.0;-261.0
15.7586;239;-9255;250.0;-237.0
15.8472;3421;-12344;222.0;-210.0
15.9485;6282;-15039;202.0;-197.0
16.0474;8872;-17575;172.0;-183.0
16.1501;11057;-19946;145.0;-153.0
16.2475;12876;-21913;122.0;-128.0
16.3629;14336;-23554;101.0;-100.0
16.4556;15595;-24886;96.0;-95.0
16.5494;16794;-26106;99.0;-104.0
16.6471;18064;-27435;107.0;-130.0
16.7502;19477;-29098;111.0;-160.0
16.8756;20922;-31133;97.0;-193.0
16.9475;22156;31925;75.0;-200.0
17.0566;23126;29339;59.0;-204.0
17.1486;23873;26735;47.0;-187.0
17.2482;24492;24329;57.0;-171.0
17.3491;25246;22113;81.0;-161.0
17.4500;26338;20099;111.0;-162.0
17.5483;27757;18032;131.0;-168.0
17.6490;29445;15878;148.0;-186.0
17.7485;31391;13570;160.0;-196.0
17.8505;-32098;11024;164.0;-207.0
17.9567;-30021;8368;153.0;-206.0
18.0686;-28040;5727;145.0;-198.0
18.1490;-26169;3217;125.0;-187.0
18.2688;-24508;852;108.0;-171.0
18.3566;-23118;-1333;83.0;-156.0
18.4507;-22028;-3305;61.0;-140.0
18.5558;-21183;-5059;46.0;-115.0
18.6561;-20570;-6509;39.0;-93.0
18.7501;-20056;-7690;49.0;-71.0
18.8487;-19418;-8600;63.0;-62.0
18.9532;-18589;-9353;65.0;-51.0
19.0493;-17715;-9996;46.0;-44.0
19.1572;-17122;-10564;19.0;-43.0
19.2508;-16844;-11151;5.0;-39.0
19.3493;-16774;-11620;13.0;-43.0
19.4584;-16541;-12161;24.0;-45.0
19.5535;-16192;-12711;30.0;-42.0
19.6534;-15779;-13260;23.0;-38.0
19.7595;-15489;-13781;6.0;-28.0
19.8552;-15398;-14100;0.0;-1.0
19.9574;-15397;-14082;0.0;-1.0
20.0573;-15397;-14085;0.0;0.0
20.1491;-15397;-14084;0.0;-1.0
20.2545;-15397;-14089;0.0;0.0
20.3497;-15397;-14093;0.0;0.0
20.4491;-15397;-14095;0.0;0.0
20.5725;-15398;-14099;0.0;0.0
20.6487;-15399;-14105;0.0;-1.0
20.7764;-15398;-14110;0.0;0.0
20.8579;-15397;-14111;0.0;-1.0
20.9649;-15403;-14117;-1.0;-5.0
21.0505;-15418;-14181;-2.0;-3.0
21.1630;-15437;-14233;-5.0;0.0
21.2581;-15509;-14232;0.0;0.0
21.3640;-15513;-14233;0.0;0.0
21.4578;-15513;-14233;0.0;0.0
21.5583;-15513;-14233;0.0;0.0
21.6595;-15513;-14233;0.0;0.0
21.7606;-15513;-14233;0.0;0.0
21.8528;-15513;-14233;0.0;0.0
21.9505;-15513;-14233;0.0;0.0
22.0570;-15513;-14233;0.0;0.0
22.1531;-15513;-14233;0.0;0.0
22.2500;-15513;-14233;0.0;0.0
22.3560;-15513;-14233;0.0;0.0
22.4591;-15513;-14233;0.0;0.0
22.5524;-15513;-14233;0.0;0.0
22.6525;-15513;-14233;0.0;0.0
22.7591;-15513;-14233;0.0;0.0
22.8587;-15513;-14233;0.0;0.0
22.9547;-15513;-14233;0.0;0.0
23.0588;-15513;-14233;0.0;0.0
23.1598;-15513;-14233;0.0;0.0
23.2512;-15513;-14233;0.0;0.0
23.3504;-15513;-14233;0.0;0.0
23.4749;-15513;-14233;0.0;0.0
23.5504;-15513;-14233;0.0;0.0
23.6769;-15513;-14233;0.0;0.0
23.7515;-15513;-14233;0.0;0.0
23.8559;-15513;-14233;0.0;0.0
23.9510;-15513;-14233;0.0;0.0
24.0541;-15513;-14233;0.0;0.0
