#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
11.4534;11172;12392;448.0;437.0
11.5545;16913;17966;433.0;393.0
11.6526;22496;23015;393.0;376.0
11.7548;27464;27799;364.0;363.0
11.8543;32180;32484;331.0;329.0
11.9526;-29126;-28824;283.0;283.0
12.0766;-25471;-25146;224.0;243.0
12.1704;-22560;-22015;180.0;204.0
12.2534;-20247;-19413;107.0;152.0
12.3539;-18831;-17435;73.0;98.0
12.4526;-17933;-16162;53.0;76.0
12.5545;-17253;-15192;52.0;66.0
12.6720;-16600;-14313;42.0;66.0
12.7631;-16026;-13430;33.0;49.0
12.8718;-15618;-12812;30.0;31.0
12.9626;-15180;-12373;18.0;39.0
13.0623;-14936;-11954;2.0;36.0
13.1606;-14885;-11540;-41.0;73.0
13.2641;-15268;-10574;-64.0;96.0
13.3531;-16104;-9303;-76.0;118.0
13.4666;-17071;-7767;-92.0;137.0
13.5539;-18264;-6006;-123.0;157.0
13.6598;-19839;-3980;-159.0;164.0
13.7539;-21857;-1848;-177.0;166.0
13.8546;-24147;288;-180.0;146.0
13.9534;-26461;2204;-173.0;121.0
14.0563;-28728;3732;-166.0;90.0
14.1587;-30845;4922;-180.0;85.0
14.2550;32375;5997;-175.0;89.0
14.3541;30139;7054;-169.0;95.0
14.4559;27992;8305;-171.0;117.0
14.5617;25785;9800;-160.0;146.0
14.6563;23754;11743;-139.0;125.0
14.7541;21978;13365;-125.0;102.0
14.8543;20396;14702;-115.0;59.0
14.9567;18919;15465;-67.0;16.0
15.0574;18048;15679;-20.0;1.0
15.1786;17761;15687;0.0;10.0
15.2624;17794;15814;-1.0;7.0
15.3773;17784;15972;-1.0;0.0
15.4541;17776;15971;0.0;0.0
15.5753;17766;15972;0.0;0.0
15.6545;17766;15972;-11.0;2.0
15.7749;17660;16003;-9.0;6.0
15.8636;17549;16118;-12.0;10.0
15.9753;17392;16303;-10.0;12.0
16.0566;17271;16490;-9.0;5.0
16.1711;17159;16568;-6.0;0.0
16.2559;17056;16573;0.0;0.0
16.3774;17067;16573;0.0;3.0
16.4545;17067;16609;0.0;28.0
16.5549;17075;16920;50.0;68.0
16.6544;17733;17794;115.0;102.0
16.7609;19219;19157;179.0;128.0
16.8549;21547;20844;206.0;198.0
16.9617;24156;23334;196.0;268.0
17.0648;26683;26765;228.0;324.0
17.1576;29627;30961;278.0;337.0
17.2593;-32354;-30177;343.0;342.0
17.3580;-27919;-25809;390.0;344.0
17.4642;-22914;-21406;408.0;366.0
17.5636;-17645;-16712;416.0;400.0
17.6551;-12356;-11614;430.0;408.0
17.7551;-6829;-6360;429.0;404.0
17.8836;-1288;-1152;425.0;411.0
17.9643;4157;4128;419.0;424.0
18.0869;9531;9565;435.0;452.0
18.1584;15089;15378;442.0;464.0
18.2553;20800;21356;449.0;475.0
18.3572;26565;27455;456.0;474.0
18.4561;32423;-32028;453.0;461.0
18.5562;-27285;-26120;453.0;439.0
18.6558;-21460;-20491;451.0;416.0
18.7552;-15682;-15130;456.0;401.0
18.8759;-9842;-9982;423.0;407.0
18.9660;-4404;-4765;391.0;404.0
19.0643;619;440;356.0;388.0
19.1580;5180;5415;318.0;345.0
19.2905;9239;9816;278.0;287.0
19.3610;12815;13500;242.0;247.0
19.4753;15948;16673;216.0;231.0
19.5565;18746;19677;198.0;221.0
19.6697;21225;22527;167.0;178.0
19.7573;23300;24804;131.0;133.0
19.8721;25006;26430;107.0;102.0
19.9562;26365;27714;87.0;78.0
20.0643;27481;28752;73.0;79.0
20.1593;28419;29761;61.0;88.0
20.2565;29202;30883;68.0;94.0
20.3587;30069;32098;62.0;84.0
20.4585;30854;-32383;42.0;58.0
20.5653;31373;-31637;31.0;30.0
20.6571;31773;-31267;25.0;3.0
20.7918;32057;-31224;0.0;0.0
20.8621;32044;-31213;0.0;2.0
20.9564;32030;-31173;0.0;26.0
21.0576;32045;-30838;-3.0;63.0
21.1581;32022;-30013;-30.0;103.0
21.2568;31718;-28703;-64.0;119.0
21.3854;30897;-27151;-73.0;121.0
21.4565;29930;-25581;-80.0;144.0
21.5566;28916;-23742;-118.0;191.0
21.6585;27390;-21334;-149.0;211.0
21.7779;25475;-18607;-180.0;196.0
21.8652;23209;-16034;-194.0;181.0
21.9780;20736;-13645;-198.0;157.0
22.0660;18218;-11653;-191.0;128.0
22.1740;15710;-10022;-193.0;124.0
22.2640;13261;-8391;-177.0;128.0
22.3821;11017;-6776;-160.0;111.0
22.4648;9037;-5307;-133.0;94.0
22.5694;7385;-4033;-112.0;68.0
22.6619;5948;-3152;-99.0;50.0
22.7731;4680;-2498;-79.0;45.0
22.8658;3712;-1876;-70.0;40.0
22.9691;2846;-1316;-83.0;40.0
23.0571;1804;-767;-49.0;14.0
23.1651;1119;-548;-5.0;1.0
23.2658;1078;-554;-6.0;0.0
23.3625;1025;-555;-1.0;0.0
23.4656;1022;-555;0.0;0.0
23.5642;1022;-555;-1.0;0.0
23.6593;1017;-554;-19.0;6.0
23.7612;818;-477;-37.0;4.0
23.8583;370;-349;-32.0;12.0
23.9663;-49;-178;-7.0;7.0
24.0582;-151;-46;0.0;1.0
24.1586;-140;-32;0.0;6.0
24.2582;-140;65;0.0;14.0
24.3582;-140;336;18.0;43.0
24.4914;65;883;36.0;40.0
24.5585;513;1382;51.0;57.0
24.6844;1158;2122;84.0;71.0
24.7633;2240;3068;115.0;66.0
24.8580;3715;3895;125.0;88.0
24.9670;5362;4999;119.0;138.0
25.0807;6892;6769;120.0;188.0
25.1669;8440;9127;140.0;221.0
25.2834;10234;12011;177.0;246.0
25.3670;12515;15135;222.0;243.0
25.4663;15377;18288;269.0;227.0
25.5664;18893;21210;324.0;230.0
25.6713;23053;24133;352.0;274.0
25.7668;27552;27617;358.0;317.0
25.8595;32162;31711;365.0;365.0
25.9669;-28714;-29158;384.0;394.0
26.0671;-23783;-24105;403.0;408.0
26.1829;-18602;-18809;408.0;428.0
26.2731;-13348;-13294;412.0;442.0
26.3694;-8034;-7634;422.0;453.0
26.4982;-2638;-1838;441.0;451.0
26.5595;3053;3912;457.0;452.0
26.7132;8910;9703;450.0;458.0
26.8114;14711;15601;441.0;455.0
26.8805;20403;21456;427.0;448.0
27.0132;25894;27209;404.0;417.0
27.0686;31072;32584;387.0;368.0
27.2067;-29528;-28241;377.0;337.0
