#time[s];pos_l;pos_r[ticks];vel_l;vel_r[mm/s]
15.0006;19427;16653;1.0;15.0
15.1210;19430;16848;0.0;3.0
15.2018;19424;16897;2.0;0.0
15.3206;19451;16892;9.0;0.0
15.4003;19551;16892;26.0;-12.0
15.5200;19900;16752;57.0;-59.0
15.6001;20656;16000;84.0;-79.0
15.7179;21736;14993;105.0;-89.0
15.8011;23094;13847;132.0;-102.0
15.9170;24759;12541;149.0;-119.0
16.0091;26677;11026;172.0;-141.0
16.1264;28879;9225;176.0;-169.0
16.2065;31152;7045;152.0;-194.0
16.3114;-32427;4544;110.0;-219.0
16.4096;-30991;1767;91.0;-216.0
16.5113;-29854;-984;58.0;-192.0
16.6014;-29113;-3456;46.0;-183.0
16.7006;-28461;-5792;54.0;-186.0
16.8005;-27802;-8170;39.0;-160.0
16.9022;-27282;-10202;65.0;-116.0
17.0019;-26461;-11694;86.0;-101.0
17.1104;-25361;-13003;76.0;-95.0
17.2009;-24372;-14207;57.0;-87.0
17.3011;-23640;-15346;77.0;-75.0
17.4015;-22664;-16324;92.0;-45.0
17.5021;-21458;-16899;94.0;-8.0
17.6060;-20252;-17018;66.0;-15.0
17.7043;-19378;-17180;27.0;-39.0
17.8042;-18992;-17643;0.0;-31.0
17.9116;-19012;-18035;-17.0;-8.0
18.0344;-19280;-18178;-1.0;0.0
18.1044;-19267;-18159;4.0;0.0
18.2022;-19211;-18159;6.0;0.0
18.3071;-19099;-18159;4.0;-5.0
18.4033;-19023;-18209;2.0;-1.0
18.5021;-18993;-18229;8.0;-5.0
18.6251;-18875;-18287;4.0;-12.0
18.7101;-18806;-18465;2.0;-4.0
18.8215;-18757;-18528;1.0;0.0
18.9019;-18727;-18519;8.0;-5.0
19.0027;-18622;-18583;25.0;-3.0
19.1124;-18301;-18628;18.0;1.0
19.2139;-18057;-18594;37.0;34.0
19.3024;-17580;-18095;61.0;54.0
19.4138;-16768;-17411;77.0;75.0
19.5024;-15784;-16442;102.0;111.0
